id,name,height,weight,base_experience,order,genus,generation,is_legendary,is_mythical,is_baby,color,shape,habitat,growth_rate,capture_rate,base_happiness,gender_rate,hatch_counter,has_gender_differences,forms_switchable,type_1,type_2,stat_hp,stat_attack,stat_defense,stat_special_attack,stat_special_defense,stat_speed,stat_total,ability_1,ability_2,ability_hidden,egg_group_1,egg_group_2,evolves_from,evolution_chain_id,total_moves,sprite_front_default,sprite_front_shiny,sprite_official_artwork,in_red,in_blue,in_yellow,in_gold,in_silver,in_crystal,in_ruby,in_sapphire,in_emerald,in_firered,in_leafgreen,in_diamond,in_pearl,in_platinum,in_heartgold,in_soulsilver,in_black,in_white,in_black2,in_white2,in_x,in_y,in_omega_ruby,in_alpha_sapphire,in_sun,in_moon,in_ultra_sun,in_ultra_moon,in_lets_go_pikachu,in_lets_go_eevee,in_sword,in_shield,in_brilliant_diamond,in_shining_pearl,in_legends_arceus,in_scarlet,in_violet,pokedex_entry
11,metapod,7,99,72,15,Cocoon pokemon,i,FALSE,FALSE,FALSE,green,squiggle,forest,medium,120,70,4,15,FALSE,FALSE,bug,,50,20,55,25,25,30,205,shed-skin,,,bug,,caterpie,4,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"This pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,butterfree,11,320,178,16,Butterfly pokemon,i,FALSE,FALSE,FALSE,white,bug-wings,forest,medium,45,70,4,15,TRUE,FALSE,bug,flying,60,45,50,90,80,70,395,compound-eyes,tinted-lens,tinted-lens,bug,,metapod,4,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,weedle,3,32,39,17,Hairy Bug pokemon,i,FALSE,FALSE,FALSE,brown,armor,forest,medium,255,70,4,15,FALSE,FALSE,bug,poison,40,35,30,20,20,50,195,shield-dust,run-away,run-away,bug,,,5,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,kakuna,6,100,72,18,Cocoon pokemon,i,FALSE,FALSE,FALSE,yellow,squiggle,forest,medium,120,70,4,15,FALSE,FALSE,bug,poison,45,25,50,25,25,35,205,shed-skin,,,bug,,weedle,5,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Almost incapable of moving, this pokemon can only harden its shell to protect itself from predators."
15,beedrill,10,295,178,19,Poison Bee pokemon,i,FALSE,FALSE,FALSE,yellow,bug-wings,forest,medium,45,70,4,15,FALSE,TRUE,bug,poison,65,90,40,45,80,75,395,swarm,sniper,sniper,bug,,kakuna,5,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,pidgey,3,18,50,21,Tiny Bird pokemon,i,FALSE,FALSE,FALSE,brown,wings,forest,medium-slow,255,70,4,15,FALSE,FALSE,normal,flying,40,45,40,35,35,56,251,keen-eye,tangled-feet,big-pecks,flying,,,6,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,pidgeotto,11,300,122,22,Bird pokemon,i,FALSE,FALSE,FALSE,brown,wings,forest,medium-slow,120,70,4,15,FALSE,FALSE,normal,flying,63,60,55,50,50,71,349,keen-eye,tangled-feet,big-pecks,flying,,pidgey,6,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Very protective of its sprawling territorial area, this pokemon will fiercely peck at any intruder."
18,pidgeot,15,395,216,23,Bird pokemon,i,FALSE,FALSE,FALSE,brown,wings,forest,medium-slow,45,70,4,15,FALSE,TRUE,normal,flying,83,80,75,70,70,101,479,keen-eye,tangled-feet,big-pecks,flying,,pidgeotto,6,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,rattata,3,35,51,25,Mouse pokemon,i,FALSE,FALSE,FALSE,purple,quadruped,grassland,medium,255,70,4,15,TRUE,FALSE,normal,,30,56,35,25,35,72,253,run-away,guts,hustle,ground,,,7,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,raticate,7,185,145,27,Mouse pokemon,i,FALSE,FALSE,FALSE,brown,quadruped,grassland,medium,127,70,4,15,TRUE,FALSE,normal,,55,81,60,50,70,97,413,run-away,guts,hustle,ground,,rattata,7,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
21,spearow,3,20,52,30,Tiny Bird pokemon,i,FALSE,FALSE,FALSE,brown,wings,rough-terrain,medium,255,70,4,15,FALSE,FALSE,normal,flying,40,60,30,31,31,70,262,keen-eye,sniper,sniper,flying,,,8,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
22,fearow,12,380,155,31,Beak pokemon,i,FALSE,FALSE,FALSE,brown,wings,rough-terrain,medium,90,70,4,15,FALSE,FALSE,normal,flying,65,90,65,61,61,100,442,keen-eye,sniper,sniper,flying,,spearow,8,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,ekans,20,69,58,32,Snake pokemon,i,FALSE,FALSE,FALSE,purple,squiggle,grassland,medium,255,70,4,20,FALSE,FALSE,poison,,35,60,44,40,54,55,288,intimidate,shed-skin,unnerve,ground,dragon,,9,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,arbok,35,650,157,33,Cobra pokemon,i,FALSE,FALSE,FALSE,purple,squiggle,grassland,medium,90,70,4,20,FALSE,FALSE,poison,,60,95,69,65,79,80,448,intimidate,shed-skin,unnerve,ground,dragon,ekans,9,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,pikachu,4,60,112,35,Mouse pokemon,i,FALSE,FALSE,FALSE,yellow,quadruped,forest,medium,190,70,4,10,TRUE,FALSE,electric,,35,55,40,50,50,90,320,static,lightning-rod,lightning-rod,ground,fairy,pichu,10,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"When several of these pokemon gather, their electricity could build and cause lightning storms."
26,raichu,8,300,218,51,Mouse pokemon,i,FALSE,FALSE,FALSE,yellow,upright,forest,medium,75,70,4,10,TRUE,FALSE,electric,,60,90,55,90,80,110,485,static,lightning-rod,lightning-rod,ground,fairy,pikachu,10,109,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Its long tail serves as a ground to protect itself from its own high-voltage power.
27,sandshrew,6,120,60,53,Mouse pokemon,i,FALSE,FALSE,FALSE,yellow,upright,rough-terrain,medium,255,70,4,20,FALSE,FALSE,ground,,50,75,85,20,30,40,300,sand-veil,sand-rush,sand-rush,ground,,,11,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
