pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
11,Metapod,I,Cocoon Pokémon,Bug,,0.7,9.9,50,20,55,25,25,30,Shed Skin,Caterpie,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.","This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.","Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.",The shell covering this POKéMON’s body is as hard as an iron slab. METAPOD does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",
12,Butterfree,I,Butterfly Pokémon,Bug,Flying,1.1,32.0,60,45,50,90,80,70,"Compound Eyes, Tinted Lens",Metapod,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.","In battle, it flaps its wings at high speed to release highly toxic dust into the air.",It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,"BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",
13,Weedle,I,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,40,35,30,20,20,50,"Shield Dust, Run Away",,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.","Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,WEEDLE has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,
14,Kakuna,I,Cocoon Pokémon,Bug,Poison,0.6,10.0,45,25,50,25,25,35,Shed Skin,Weedle,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.","Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.","Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked.","KAKUNA remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",,,
15,Beedrill,I,Poison Bee Pokémon,Bug,Poison,1.0,29.5,65,90,40,45,80,75,"Swarm, Sniper",Kakuna,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,It can take down any opponent with its powerful poi­ son stingers. It sometimes attacks in swarms.,"BEEDRILL is extremely territorial. No one should ever approach its nest - this is for their own safety. If angered, they will attack in a furious swarm.","Its best attack involves flying around at high speed, striking with poison needles, then flying off.","Its best attack involves flying around at high speed, striking with poison needles, then flying off.",It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,,,
16,Pidgey,I,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,40,45,40,35,35,56,"Keen Eye, Tangled Feet, Big Pecks",,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,"It usually hides in tall grass. Be­ cause it dislikes fighting, it pro­ tects itself by kicking up sand.","PIDGEY has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.",A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,,,
17,Pidgeotto,I,Bird Pokémon,Normal,Flying,1.1,30.0,63,60,55,50,50,71,"Keen Eye, Tangled Feet, Big Pecks",Pidgey,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.","Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.","It has outstanding vision. However high it flies, it is able to distin­ guish the move­ ments of its prey.","PIDGEOTTO claims a large area as its own territory. This POKéMON flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws.",The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.,,,
18,Pidgeot,I,Bird Pokémon,Normal,Flying,1.5,39.5,83,80,75,70,70,101,"Keen Eye, Tangled Feet, Big Pecks",Pidgeotto,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.,"This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by the striking beauty of the feathers on its head, compelling them to choose PIDGEOT as their POKéMON.","By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees.","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.","When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.",,,
19,Rattata,I,Mouse Pokémon,Normal,,0.3,3.5,30,56,35,25,35,72,"Run Away, Guts, Hustle",,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.","Bites anything when it attacks. Small and very quick, it is a common sight in many places.","It eats anything. Wherever food is available, it will settle down and produce offspring continuously.","RATTATA is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives - it will make its nest anywhere.","Cautious in the extreme, its hardy vitality lets it live in any kind of environment.","Cautious in the extreme, its hardy vitality lets it live in any kind of environment.","Living wherever there is food available, it ceaselessly scavenges for edibles the entire day.","Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.",,
20,Raticate,I,Mouse Pokémon,Normal,,0.7,18.5,55,81,60,50,70,97,"Run Away, Guts, Hustle",Rattata,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnaw­ ing on them.,"RATICATE’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.,It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.,It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.,"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans.",,
21,Spearow,I,Tiny Bird Pokémon,Normal,Flying,0.3,2.0,40,60,30,31,31,70,"Keen Eye, Sniper",,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.,"SPEAROW has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.","It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.","Very protective of its territory, it flaps its short wings busily to dart around at high speed.",Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.,,
22,Fearow,I,Beak Pokémon,Normal,Flying,1.2,38.0,65,90,65,61,61,100,"Keen Eye, Sniper",Spearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.","With its huge and magnificent wings, it can keep aloft without ever having to land for rest.","It shoots itself suddenly high into the sky, then plummets down in one fell swoop to strike its prey.",FEAROW is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",It’s tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.,,
23,Ekans,I,Snake Pokémon,Poison,,2.0,6.9,35,60,44,40,54,55,"Intimidate, Shed Skin, Unnerve",,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.","Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.","It can freely de­ tach its jaw to swallow large prey whole. It can be­ come too heavy to move, however.",EKANS curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,It sneaks through grass without making a sound and strikes unsuspecting prey from behind.,It sneaks through grass without making a sound and strikes unsuspecting prey from behind.,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",,,
24,Arbok,I,Cobra Pokémon,Poison,,3.5,65.0,60,95,69,65,79,80,"Intimidate, Shed Skin, Unnerve",Ekans,It is rumored that the ferocious warning markings on its belly differ from area to area.,It is rumored that the ferocious warning markings on its belly differ from area to area.,"Transfixing prey with the face-like pattern on its belly, it binds and poisons the frightened victim.","This POKéMON is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once ARBOK wraps its body around its foe, escaping its crunching embrace is impossible.",The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,,,
25,Pikachu,I,Mouse Pokémon,Electric,,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,"When several of these POKéMON gather, their electricity could build and cause lightning storms.","When several of these POKéMON gather, their electricity could build and cause lightning storms.",This intelligent POKéMON roasts hard BERRIES with electricity to make them tender enough to eat.,"Whenever PIKACHU comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it’s evidence that this POKéMON mistook the intensity of its charge.",It lives in forests with others. It stores electricity in the pouches on its cheeks.,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.,It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.,A plan was recently announced to gather many Pikachu and make an electric power plant.,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,
26,Raichu,I,Mouse Pokémon,Electric,,0.8,30.0,60,90,55,90,80,110,"Static, Lightning Rod",Pikachu,Its long tail serves as a ground to protect itself from its own high voltage power.,Its long tail serves as a ground to protect itself from its own high voltage power.,"When its electric­ ity builds, its muscles are stimu­ lated, and it be­ comes more aggres­ sive than usual.","If the electrical sacks become excessively charged, RAICHU plants its tail in the ground and discharges. Scorched patches of ground will be found near this POKéMON’s nest.",It turns aggressive if it has too much electricity in its body. It discharges power through its tail.,"Its tail discharges electricity into the ground, protecting it from getting shocked.","When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual.","It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.",Its long tail serves as a ground to protect itself from its own high-voltage power.,
27,Sandshrew,I,Mouse Pokémon,Ground,,0.6,12.0,50,75,85,20,30,40,"Sand Veil, Sand Rush",,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,"If it fell from a great height, this POKéMON could save itself by rolling into a ball and bouncing.","SANDSHREW’s body is configured to absorb water without waste, enabling it to survive in an arid desert. This POKéMON curls up to protect itself from its enemies.","To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.","To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.","It burrows and lives underground. If threatened, it curls itself up into a ball for protection.",It can roll its body into a ball. It moves through the desert by rolling at high speeds.,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",
28,Sandslash,I,Mouse Pokémon,Ground,,1.0,29.5,75,100,110,45,55,65,"Sand Veil, Sand Rush",Sandshrew,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,"In an attempt to hide itself, it will run around at top speed to kick up a blinding dust storm.","SANDSLASH’s body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.","It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage.","It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage.","If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day.","Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.","The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",
29,Nidoran F,I,Poison Pin Pokémon,Poison,,0.4,7.0,55,47,52,40,40,41,"Poison Point, Rivalry, Hustle",,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.","Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",The poison hidden in its small horn is extremely po­ tent. Even a tiny scratch can have fatal results.,"NIDORAN has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied POKéMON. When enraged, it releases a horrible toxin from its horn.","While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.","While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.","Although small, its venomous barbs render this Pokémon dangerous. The female has smaller horns.",,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.",
30,Nidorina,I,Poison Pin Pokémon,Poison,,0.8,20.0,70,62,67,55,55,56,"Poison Point, Rivalry, Hustle",Nidoran-f,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,"When feeding its young, it first chews and tender­ izes the food, then spits it out for the offspring.","When NIDORINA are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This POKéMON appears to become nervous if separated from the others.","When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINO’s.","When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorino’s.",The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.,,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,
31,Nidoqueen,I,Drill Pokémon,Poison,Ground,1.3,60.0,90,92,87,75,85,76,"Poison Point, Rivalry, Sheer Force",Nidorina,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,Its body is cover­ ed with needle- like scales. It never shows signs of shrinking from any attack.,NIDOQUEEN’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This POKéMON is at its strongest when it is defending its young.,Its entire body is armored with hard scales. It will protect the young in its burrow with its life.,Its entire body is armored with hard scales. It will protect the young in its burrow with its life.,"It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators.",,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",
32,Nidoran M,I,Poison Pin Pokémon,Poison,,0.5,9.0,46,57,40,40,40,50,"Poison Point, Rivalry, Hustle",,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.","Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.","It is small, but its horn is filled with poison. It charges then stabs with the horn to inject poison.","The male NIDORAN has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this POKéMON’s notice.",It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.,,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",
33,Nidorino,I,Poison Pin Pokémon,Poison,,0.9,19.5,61,72,57,55,55,65,"Poison Point, Rivalry, Hustle",Nidoran-m,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,"It raises its big ears to check its surroundings. If it senses any­ thing, it attacks immediately.","NIDORINO has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.","It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.","It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.",,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",
34,Nidoking,I,Drill Pokémon,Poison,Ground,1.4,62.0,81,102,77,85,75,85,"Poison Point, Rivalry, Sheer Force",Nidorino,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.","It uses its powerful tail in battle to smash, constrict, then break the prey's bones.","It swings its big tail around during battle. If its foe flinches, it will charge with its sturdy body.","NIDOKING’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this POKéMON goes on a rampage, there is no stopping it.",One swing of its mighty tail can snap a telephone pole as if it were a matchstick.,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.,"It is recognized by its rock-hard hide and its extended horn. Be careful with the horn, as it contains venom.",,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",
35,Clefairy,I,Fairy Pokémon,Fairy,,0.6,7.5,70,45,48,60,65,35,"Cute Charm, Magic Guard, Friend Guard",Cleffa,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.,"On every night of a full moon, groups of this POKéMON come out to play. When dawn arrives, the tired CLEFAIRY return to their quiet mountain retreats and go to sleep nestled up against each other.","Thought to live with others on quiet mountains, it is popular for its adorable nature.",It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,"Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.",It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,
36,Clefable,I,Fairy Pokémon,Fairy,,1.3,40.0,95,70,73,95,90,60,"Cute Charm, Magic Guard, Unaware",Clefairy,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,"With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places.","CLEFABLE moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","Rarely seen by people, it is said to be drawn by the full moon to play at deserted lakes.",It is very wary and rarely shows itself to people. Its ears can hear a pin drop over half a mile away.,Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains.,They don’t like to reveal themselves in front of people. They live quietly in packs deep in the mountains.,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",
