Pokemon,Shiny Encounters
Croagunk,4
Chimecho,3
Nacli,2
Lickitung,3
Krabby,9
Stunky,7
Jynx,3
Cleffa,9
Gourgeist-Small,2
Raticate-Alolan,5
Seedot,3
Mega Lopunny,1
Paras,7
Mega Mawile,3
Camerupt,3
Kangaskhan,2
Litleo,7
Zigzagoon-Galarian,6
Scraggy,8
Simisage,3
Terapagos,6
Slurpuff,2
Cacturne,1
Flareon,1
Terapagos -Stellar Form,3
Meditite,3
Alcremie,6
Sizzlipede,4
Reuniclus,2
Toedscool,4
Mega Pinsir,1
Wynaut,6
Pumpkaboo-Large,6
Cetoddle,4
Lopunny,1
Aegislash-Blade,1
Ivysaur,3
Scyther,1
Slowpoke-Galarian,7
Bramblin,7
Wailord,6
Veluza,3
Coalossal,1
Goldeen,9
Sudowoodo,1
Drampa,4
Elgyem,6
Blissey,3
Florges,1
Roggenrola,2
Lechonk,7
Tropius,4
Zangoose,9
Crabrawler,3
Dusknoir,2
Dusclops,1
Infernape,2
Lumineon,6
Mabosstiff,2
Chingling,6
Igglybuff,10
Terapagos -Terastal Form,4
Blipbug,5
Silcoon,5
Heatmor,2
Phanpy,5
Poltchageist,3
Mega Glalie,3
Tinkaton,1
Voltorb-Hisuian,5
Articuno-Galarian,1
Chinchou,1
Shroodle,4
Beheeyem,3
Snubbull,6
Marill,10
Baltoy,3
Aromatisse,3
Mareanie,5
Cherrim-Overcast,8
Tandemaus,6
Flygon,2
Kilowattrel,2
Eternamax Eternatus,4
Wobbuffet,4
Wailmer,4
Abra,2
Amaura,3
Foongus,7
Lunatone,2
Milotic,6
Greedent,4
Thievul,7
Mega Camerupt,4
Ponyta,4
Oricorio-Pom Pom,1
Loudred,5
Kartana,1
Mega Altaria,2
Mudbray,5
Raticate,5
Grimer,4
Psyduck,8
Cacnea,1
Ponyta-Galarian,6
Petilil,3
Bunnelby,5
Kecleon,2
Cubchoo,3
Cranidos,2
Omanyte,2
Grumpig,1
Oinkologne-M,2
Sobble,1
Geodude-Alolan,7
Girafarig,1
Snorunt,7
Sentret,10
Dugtrio,2
Staravia,2
Donphan,1
Necrozma-Dawn Wings,1
Munna,6
Tentacruel,2
Altaria,2
Diglett-Alolan,8
Pikipek,5
Smoochum,1
Overqwil,2
Zubat,7
Bouffalant,1
Emolga,14
Corphish,10
Voltorb,5
Lillipup,6
Zorua-Hisuian,4
Makuhita,6
Tangela,5
Remoraid,6
Chewtle,7
Lurantis,1
Wooper,7
Floette,8
Golbat,1
Mega Charizard Y,1
Dunsparce,3
Onix,2
Yamask-Galarian,4
Venipede,9
Salazzle,1
Slowbro,3
Rattata-Alolan,5
Krookodile,3
Castform-Rainy,2
Hattrem,1
Amoonguss,2
Scrafty,3
Solosis,5
Sawsbuck,1
Flaaffy,2
Deerling,4
Whimsicott,2
Shedinja,6
Arboliva,1
Boltund,3
Spidops,7
Cottonee,6
Dragonite,1
Indeedee-Male,1
Garbodor,1
Misdreavus,1
Shieldon,3
Trubbish,5
Oshawott,1
Duskull,7
Darmanitan Zen,3
Decidueye-Hisuian,4
Houndstone,2
Burmy,7
Phantump,9
Stufful,4
Pansage,4
Zebstrika,2
Drifloon,5
Araquanid,2
Bewear,1
Dottler,2
Geodude,7
Accelgor,2
Garganacl,2
Poliwhirl,3
Bronzong,4
Seviper,5
Rattata,8
Cubone,4
Nymble,5
Durant,4
Tentacool,4
Porygon,3
Sandshrew,4
Magnezone,1
Buizel,4
Tsareena,2
Morgrem,3
Mega Banette,1
Copperajah,4
Tinkatuff,1
Fidough,5
Ninetales-Alolan,4
Caterpie,9
Quilava,2
Pikachu,5
Huntail,6
Mime Jr.,2
Hydrapple,4
Combusken,1
Pachirisu,5
Gyarados,1
Dondozo,1
Rellor,5
Shellos,6
Gothorita,1
Koffing,7
Raichu-Alolan,6
Braviary-Hisuian,1
Muk,5
Barraskewda,1
Bronzor,7
Breloom,5
Rolycoly,4
Salandit,6
Flapple,6
Incineroar,1
Gastly,3
Dodrio,2
Hariyama,8
Clefable,1
Pineco,3
Trevenant,2
Tinkatink,8
Glameow,3
Farfetch'd-Galarian,1
Oricorio-Baile,2
Mandibuzz,1
Necrozma,3
Ribombee,2
Drowzee,5
Togekiss,3
Castform-Snowy,2
Ariados,6
Klink,1
Miltank,2
Pyukumuku,1
Shuppet,4
Whismur,3
Bergmite,8
Swampert,2
Rotom-Mow,2
Spearow,5
Mega Gengar,2
Buneary,5
Grubbin,10
Eldegoss,3
Golisopod,2
Rotom-W,2
Sawk,1
Trapinch,8
Noivern,2
Typhlosion-Hisuian,1
Furfrou,3
Clodsire,6
Carkol,1
Yamask,7
Octillery,1
Clefairy,9
Tyrantrum,1
Shelmet,7
Roserade,2
Kakuna,5
Lombre,3
Nidoran♂,3
Slowking-Galarian,1
Cherubi,5
Tranquill,1
Rockruff-Own Tempo,5
Talonflame,2
Helioptile,2
Wishiwashi-School,2
Meowstic ♂,4
Frillish,9
Marowak,1
Nidoran♀,5
Beedrill,1
Cradily,5
Mega Blastoise,1
Spinda,6
Lampent,3
Froslass,3
Darmanitan,2
Galvantula,1
Gumshoos,1
Braixen,2
Frosmoth,2
Fomantis,7
Gorebyss,3
Cutiefly,4
Linoone-Galarian,5
Diglett,9
Bonsly,6
Escavalier,5
Clobbopus,7
Floatzel,2
Tatsugiri,2
Noibat,6
Ursaring,1
Poliwrath,1
Minun,7
Rookidee,3
Pawniard,5
Poliwag,5
Gliscor,2
Qwilfish-Hisuian,1
Solrock,5
Heliolisk,1
Haunter,5
Vanillite,2
Raichu,2
Sandile,5
Espeon,2
Druddigon,1
Starly,7
Arctibax,1
Tyrunt,1
Claydol,2
Gothita,2
Seadra,1
Wurmple,6
Polteageist,2
Togetic,3
Growlithe-Hisuian,2
Illumise,11
Corvisquire,2
Eternatus,1
Flittle,2
Scizor,1
Dugtrio-Alolan,1
Skwovet,7
Butterfree,1
Weepinbell,2
Wingull,4
Grapploct,1
Lycanroc (Midday),4
Tirtouga,2
Rampardos,5
Rapidash,2
Capsakid,3
Venomoth,1
Toxel,3
Surskit,3
Lileep,2
Lunala,1
Gligar,1
Muk-Alolan,1
Dubwool,2
Swanna,2
Conkeldurr,2
Wugtrio,2
Bibarel,3
Appletun,2
Ralts,2
Litwick,3
Passimian,1
Sandslash,2
Machoke,1
Pelipper,1
Delcatty,2
Mightyena,4
Gourgeist-Super,2
Maractus,5
Scovillain,2
Silicobra,4
Toucannon,1
Mega Kangaskhan,1
Mesprit,1
Revavroom,2
Rillaboom,1
Crobat,1
Mega Blaziken,2
Carvanha,3
Vullaby,1
Ledian,4
Quagsire,1
Masquerain,2
Chesnaught,1
Dhelmise,1
Crustle,1
Prinplup,1
Obstagoon,1
Steenee,2
Dwebble,4
Slugma,7
Quaxly,1
Shaymin-Sky form,1
Electrode,1
Torkoal,1
Zorua,3
Pawmot,1
Slakoth,1
Simisear,3
Bulbasaur,1
Wattrel,1
Lycanroc (Dusk),3
Azumarill,1
Iron Thorns,1
Hitmontop,1
Tympole,7
Monferno,3
Munchlax,1
Beautifly,2
Magby,2
Vibrava,3
Bellsprout,5
Comfey,2
Parasect,1
Gurdurr,1
Maushold,2
Leavanny,1
Xerneas,1
Deino,1
Gossifleur,6
Jellicent,2
Klawf,2
Riolu,2
Shiinotic,2
Dedenne,4
Skorupi,1
Revavroom -Navi,1
Cyclizar,1
Sneasel,4
Corsola,3
Vulpix-Alolan,3
Croconaw,1
Diggersby,3
Grovyle,2
Bidoof,3
Froakie,1
Roselia,4
Magikarp,1
Darmanitan Zen-Galarian,1
Furret,2
Inteleon,1
Tyrogue,3
Staryu,2
Minior-Meteor,2
Cramorant,2
Pignite,1
Centiskorch,2
Klang,2
Weedle,6
Togedemaru,3
Carnivine,1
Skeledirge,1
Palpitoad,3
Cofagrigus,2
Charmander,2
Espurr,3
Herdier,5
Electrike,4
Basculegion-Male,2
Naclstack,2
Solgaleo,1
Dustox,1
Omastar,2
Floragato,2
Pidgey,1
Mr. Mime-Galarian,1
Turtonator,3
Magcargo,3
Rufflet,3
Charcadet,1
Pangoro,2
Sandaconda,3
Necrozma-Dusk Mane,1
Drifblim,3
Stoutland,1
Klefki,3
Pichu,1
Medicham,2
Liepard,1
Trumbeak,2
Revavroom -Segin,2
Budew,3
Kingler,1
Meowstic ♀,2
Rotom-Fan,1
Zoroark-Hisuian,1
Wormadam-Plant,1
Snover,1
Gogoat,1
Pumpkaboo-Super,1
Stantler,1
Fennekin,1
Blaziken,1
Maschiff,3
Clauncher,3
Revavroom -Schedar,3
Spiritomb,1
Darumaka-Galarian,1
Mantine,1
Meowscarada,1
Skuntank,1
Dragalge,1
Gallade,1
Wimpod,2
Bastiodon,4
Xatu,2
Sunflora,1
Inkay,5
Kricketot,2
Banette,3
Mega Gyarados,1
Gourgeist-Average,1
Orthworm,1
Scream Tail,1
Combee,1
Basculin (Red-Striped),1
Vanillish,1
Shiftry,1
Arcanine-Hisuian,1
Thwackey,1
Rotom,3
Delphox,1
Arcanine,3
Dipplin,2
Porygon2,2
Lokix,2
Dreepy,2
Skiddo,5
Bellibolt,1
Dewgong,1
Wishiwashi-Solo,3
Pidgeotto,2
Farigiraf,1
Wormadam-Sandy,1
Serperior,2
Victreebel,1
Avalugg,2
Granbull,1
Krokorok,1
Jolteon,1
Runerigus,2
Samurott,3
Greavard,2
Hatenna,1
Cyndaquil,1
Golduck,3
Hawlucha,2
Sinistcha,3
Mienfoo,1
Metapod,1
Kommo-o,1
Steelix,2
Axew,1
Eiscue-Noice Face,1
Wigglytuff,1
Drednaw,2
Graveler-Alolan,3
Sirfetch'd,1
Electrode-Hisuian,1
Excadrill,2
Silvally-Grass,1
Chespin,1
Sliggoo-Hisuian,1
Mr. Rime,1
Weavile,1
Chansey,1
Bisharp,1
Avalugg-Hisuian,1
Shaymin,1
Komala,1
Kadabra,1
Squirtle,2
Duraludon,1
Cascoon,1
Sceptile,2
Sigilyph,1
Tynamo,3
Honchkrow,2
Wiglett,3
Rapidash-Galarian,1
Golurk,1
Perrserker,1
Pincurchin,3
Probopass,1
Arrokuda,1
Typhlosion,1
Gastrodon,1
Kabutops,1
Mimikyu,1
Elekid,1
Carracosta,1
Mega Sableye,1
Sneasel-Hisuian,1
Cinccino,1
Quaxwell,1
Mew,1
Charjabug,1
Mega Sceptile,1
Armaldo,1
Aipom,1
Weezing-Galarian,1
Shuckle,1
Venusaur,1
Gigalith,1
Falinks,1
Chimchar,1
Gothitelle,1
Mr. Mime,1
Rotom-H,1
Ferrothorn,1
Goodra,1
Lairon,1
Luxray,1
Vileplume,1
Emboar,1
Tadbulb,1
Murkrow,1
Sableye,1
Zoroark,1
Mega Slowbro,1
