Pokemon,Encounters
Metapod,30162
Solosis,21885
Revavroom -Ruchbah,30349
Dachsbun,21284
Morgrem,30402
Oshawott,21800
Rillaboom,21381
Lechonk,30368
Woobat,30535
Corphish,60688
Jigglypuff,43279
Beartic,30605
Brionne,21761
Bombirdier,8777
Boltund,43513
Tirtouga,30192
Dragalge,30019
Psyduck,30608
Binacle,30522
Lillipup,21775
Mr. Rime,30508
Cherrim-Sunshine,30458
Dottler,30332
Mega Scizor,30709
Mr. Mime,30401
Drampa,30454
Bellsprout,21811
Duosion,21643
Sinistea,30395
Shieldon,78002
Raboot,21657
Slaking,8806
Regice,8718
Runerigus,30801
Centiskorch,30596
Bonsly,30018
Toedscruel,21898
Sandslash,30230
Octillery,30604
Palpitoad,21861
Klink,21574
Pichu,30464
Delibird,43442
Seismitoad,21764
Tarountula,77956
Nidoqueen,21456
Mega Gardevoir,8796
Tapu Fini,8483
Sandaconda,30588
Latios,8738
Blitzle,30468
Golem-Alolan,21881
Torchic,21923
Tyrunt,30474
Talonflame,21771
Silvally-Fire,8742
Toxel,21350
Bewear,30216
Chespin,21736
Ditto,30009
Florges,30526
Weezing-Galarian,30263
Solrock,43334
Togekiss,43420
Tepig,21710
Greninja,21701
Vanillite,8729
Hypno,30593
Basculin (Red-Striped),30130
Farigiraf,30537
Darmanitan Zen-Galarian,21550
Pyroar,21826
Seadra,30379
Cufant,30291
Chimecho,42777
Magearna,8484
Silvally-Normal,8547
Passimian,8722
Munkidori,8706
Mega Gallade,8593
Azelf,8770
Zacian-Crowned,8713
Stunky,30243
Ambipom,43388
Duskull,43352
Oricorio-Baile,30448
Tatsugiri,21552
Rockruff,30258
Frosmoth,30336
Crobat,30569
Quilladin,21539
Fuecoco,21918
Sunflora,22019
Furfrou,30298
Cinccino,43587
Mega Metagross,8713
Cubone,30253
Mega Sableye,21793
Cursola,43532
Mr. Mime-Galarian,30374
Glameow,43127
Pawmi,30157
Flygon,21841
Cofagrigus,30350
Sableye,21688
Dartrix,21748
Slowbro-Galarian,30404
Lokix,30555
Wiglett,30255
Chansey,43222
Unfezant,21632
Sandygast,30606
Wormadam-Plant,30367
Golbat,30339
Rotom-F,30312
Skitty,43614
Stakataka,8730
Trapinch,21924
Corvisquire,21520
Poltchageist,30348
Rellor,43080
Beheeyem,30433
Mega Medicham,30416
Vanilluxe,8636
Inkay,30380
Eevee,30269
Toxtricity,21451
Thievul,43311
Cutiefly,30395
Rotom-Fan,30568
Larvesta,8769
Hitmonchan,30333
Wormadam-Trash,29866
Castform-Snowy,30422
Rookidee,22028
Oinkologne-F,30587
Goodra,8604
Hawlucha,30273
Armaldo,78494
Pancham,30512
Illumise,60627
Morpeko,30401
Prinplup,21656
Snubbull,43467
Graveler-Alolan,21801
Pincurchin,30303
Gorebyss,78090
Grimmsnarl,30451
Ninetales,30457
Baltoy,30308
Trubbish,30750
Pignite,21681
Gliscor,21710
Pumpkaboo-Average,30299
Gastly,21661
Cacnea,21652
Espeon,30339
Medicham,30323
Bidoof,30494
Pumpkaboo-Super,30447
Beautifly,30394
Qwilfish,30526
Luxray,21809
Hitmontop,30129
Pansage,30572
Jolteon,30446
Gouging Fire,8572
Diglett-Alolan,30327
Druddigon,29899
Arceus-Flying,8751
Shelgon,8701
Gulpin,60933
Exploud,21703
Honedge,30382
Numel,30679
Clauncher,8524
Mega Beedrill,30116
Yanma,30411
Rattata,30126
Gimmighoul,8714
Appletun,78289
Umbreon,30259
Silvally-Flying,8704
Vullaby,8584
Oricorio-Pom Pom,30306
Liepard,30237
Monferno,21558
Cacturne,21621
Dusknoir,43230
Marowak,30421
Trumbeak,30361
Rotom-Mow,30275
Ekans,30299
Sentret,30367
Dunsparce,30511
Wishiwashi-School,43361
Petilil,30557
Carracosta,30547
Rayquaza,8613
Mega Absol,21635
Rattata-Alolan,30390
Polteageist,30413
Pidgeot,21566
Muk,30467
Silicobra,30199
Dondozo,8766
Rampardos,78618
Toxicroak,30447
Leavanny,21619
Flutter Mane,8679
Duraludon,30352
Lanturn,8627
Wartortle,21592
Noibat,30345
Charmander,21942
Indeedee-Male,43285
Arceus-Water,8739
Pawmo,30373
Honchkrow,21663
Linoone,30361
Spinda,43203
Watchog,30374
Rhyhorn,8675
Treecko,21496
Mismagius,43415
Fomantis,30345
Nymble,29840
Drapion,8622
Calyrex-Ice Rider,8469
Onix,30374
Xatu,30393
Cramorant,30350
Sneasel,21843
Lotad,21763
Frillish,30435
Flapple,78509
Azumarill,43421
Okidogi,8505
Gligar,21701
Gourgeist-Super,30799
Zigzagoon-Galarian,30281
Darmanitan,21521
Scovillain,30349
Castform-Rainy,29972
Applin,78259
Delphox,21629
Mega Blastoise,21810
Alomomola,43582
Arceus-Fairy,8721
Mega Lucario,21848
Seaking,30425
Basculegion-Male,30501
Shiinotic,30431
Lucario,21778
Rabsca,43251
Shroomish,60524
Arceus-Ghost,8773
Scolipede,21795
Skwovet,30322
Whimsicott,30600
Meganium,21844
Corviknight,21799
Bouffalant,30250
Munna,43199
Gothitelle,21652
Mega Blaziken,21707
Aegislash-Blade,30435
Absol,21655
Registeel,8645
Fraxure,8807
Klinklang,21724
Ralts,8704
Meowth,29889
Raichu,30388
Kabutops,30153
Meowstic ♀,30427
Cubchoo,30375
Snom,30389
Swampert,21715
Salandit,30519
Lapras,8723
Burmy,30280
Rapidash,30470
Chandelure,22058
Pelipper,30490
Vivillon,30211
Togedemaru,30485
Pikachu,30030
Ogerpon -Hearthflame Mask,8698
Sliggoo-Hisuian,8553
Kakuna,30188
Togepi,43320
Wugtrio,30659
Spoink,42528
Spritzee,30077
Rufflet,8641
Emolga,30399
Bulbasaur,21515
Tyrogue,30467
Gallade,8709
Swablu,77935
Oinkologne-M,30272
Sigilyph,30372
Kleavor,30381
Swinub,8722
Golisopod,30270
Electivire,30258
Walking Wake,8691
Pupitar,8702
Grovyle,21779
Throh,30533
Slurpuff,30444
Omastar,30097
Diggersby,30322
Simisage,30347
Hoothoot,30302
Goomy,8843
Torkoal,30250
Mega Banette,43136
Pyukumuku,43619
Glimmora,21746
Ledian,43529
Swellow,21701
Arctovish,8624
Ivysaur,21789
Quilava,21746
Mega Abomasnow,8776
Terapagos,8626
Sealeo,21748
Weavile,21527
Drifblim,61406
Lopunny,30235
Weedle,30157
Nickit,43247
Karrablast,30490
Snivy,21696
Cherrim-Overcast,30709
Avalugg,30476
Pawmot,30283
Arceus-Poison,8650
Growlithe,8693
Deoxys,8504
Linoone-Galarian,30036
Decidueye,21785
Persian-Alolan,30460
Magikarp,8766
Tangela,30668
Cloyster,8677
Magnemite,30158
Kyogre,8545
Impidimp,30396
Mega Venusaur,21975
Bounsweet,21904
Hakamo-o,8612
Calyrex,8578
Aggron,8557
Altaria,78455
Golett,30015
Silvally-Fighting,8852
Zoroark,21521
Zygarde-50%,8681
Carkol,21776
Phanpy,30522
Shinx,21596
Jumpluff,21794
Remoraid,30439
Samurott-Hisuian,21457
Joltik,30320
Ogerpon -Wellspring Mask,8897
Gloom,21696
Basculegion-Female,30046
Scorbunny,21576
Pidgey,21827
Staraptor,21535
Electabuzz,29966
Igglybuff,43439
Mega Gyarados,8602
Hoopa-Confined,8519
Eiscue-Ice Face,8519
Fletchinder,21865
Darumaka,21614
Snorunt,30411
Dragonite,8895
Sandshrew,30472
Nidorino,21492
Yamask-Galarian,30179
Zamazenta-Crowned,8697
Bramblin,30222
Shroodle,21865
Pikipek,30498
Charmeleon,21647
Iron Hands,8794
Skiploom,21780
Lunala,8771
Landorus-T,8641
Mega Aggron,8705
Floatzel,30314
Cyclizar,21914
Dugtrio,30338
Accelgor,30220
Tympole,21716
Yamask,30508
Xerneas,8753
Drowzee,30226
Tinkaton,21398
Excadrill,30439
Starmie,8739
Sewaddle,21459
Hippopotas,8688
Lickitung,30591
Ferrothorn,30287
Pawniard,30501
Mareep,21686
Tornadus-I,8504
Blissey,43188
Mudbray,30272
Zweilous,8541
Espathra,21814
Porygon-Z,30735
Trevenant,30203
Eiscue-Noice Face,8679
Hatenna,8671
Regidrago,8667
Eelektrik,8565
Charjabug,30468
Quagsire,30438
Mawile,43720
Snorlax,8788
Urshifu-Rapid Strike,8787
Genesect,8650
Froslass,30639
Pansear,30129
Mega Alakazam,21766
Tentacruel,8746
Aegislash-Shield,30299
Annihilape,30291
Floragato,21777
Shaymin,21819
Komala,8650
Machoke,21824
Togetic,43144
Staryu,8667
Oranguru,8660
Deoxys-Attack,8736
Piplup,21491
Meltan,8641
Munchlax,8639
Ponyta,30492
Roselia,21597
Fletchling,21663
Arbok,30538
Exeggcute,8689
Graveler,21642
Banette,43502
Bellibolt,30226
Chimchar,21555
Rolycoly,21869
Pidgeotto,21735
Donphan,30334
Magcargo,30363
Arceus-Grass,8538
Minior-Core,21882
Audino,43728
Minccino,43198
Furret,30282
Maushold,43256
Relicanth,8595
Seel,30475
Forretress,30503
Totodile,21560
Mewtwo,8773
Torracat,22043
Magneton,30411
Grotle,21780
Sceptile,21698
Probopass,30220
Tauros,8657
Omanyte,30241
Cyndaquil,21803
Venusaur,21873
Archaludon,30275
Stoutland,21648
Arceus-Electric,8575
Sobble,21731
Sandslash-Alolan,29655
Golurk,30380
Finneon,78378
Barbaracle,30293
Palkia,8838
Simipour,30580
Iron Bundle,8776
Bellossom,21873
Spearow,30176
Mega Lopunny,30520
Suicune,8718
Poipole,8617
Stunfisk,30330
Rotom,30669
Morelull,30462
Malamar,30341
Lunatone,43572
Typhlosion,21945
Meowth-Alolan,30228
Wooloo,30309
Galvantula,30440
Maractus,30232
Poliwhirl,21416
Swadloon,22121
Gogoat,30403
Silvally-Poison,8649
Decidueye-Hisuian,21873
Darumaka-Galarian,21731
Gastrodon,30360
Mimikyu,30187
Servine,21598
Granbull,43029
Alakazam,21589
Dhelmise,30311
Yamper,43460
Dratini,8576
Ferroseed,30443
Thundurus-T,8588
Haxorus,8720
Mabosstiff,21935
Popplio,21817
Mega Mawile,43361
Guzzlord,8682
Dialga,8705
Quaquaval,21791
Boldore,21683
Phantump,30434
Mega Audino,43905
Mega Manectric,8630
Castform-Sunny,30509
Rotom-H,30009
Feraligatr,21907
Nidoran♂,21653
Vulpix-Alolan,30286
Klang,21617
Eelektross,8736
Squawkabilly -Green/Blue,78351
Camerupt,30303
Wingull,30385
Jangmo-o,8603
Araquanid,30014
Kecleon,21441
Growlithe-Hisuian,8741
Kubfu,8631
Dudunsparce,30190
Lampent,21532
Machop,21773
Axew,8643
Skarmory,8580
Helioptile,30314
Dedenne,30160
Fidough,21591
Smeargle,43285
Primal Kyogre,8771
Whirlipede,21536
Toedscool,21563
Skuntank,30437
Iron Treads,8590
Slowking-Galarian,30216
White Kyurem,8761
Bagon,8740
Cosmoem,8643
Raging Bolt,8700
Goldeen,30456
Lugia,8577
Golem,21599
Klawf,30466
Maschiff,21735
Silvally-Dragon,8555
Simisear,30337
Lairon,8730
Kricketune,21737
Gurdurr,21449
Bergmite,30620
Chingling,43448
Shellos,30329
Wooper -Paldean,30679
Terapagos -Terastal Form,8527
Primal Groudon,8494
Politoed,21585
Vaporeon,30322
Chikorita,21677
Skiddo,30363
Spectrier,8637
Kadabra,21937
Sneasel-Hisuian,21486
Muk-Alolan,30321
Sizzlipede,30259
Slowbro,30306
Mesprit,8685
Hoopa-Unbound,8503
Iron Leaves,8501
Kartana,8602
Hoppip,21550
Heliolisk,30459
Tinkatink,21641
Silvally-Dark,8691
Machamp,21678
Moltres,8713
Garchomp,8795
Basculin (White-Striped),30366
Entei,8562
Arceus-Ground,8690
Lycanroc (Dusk),30391
Type: Null,8684
Kangaskhan,30499
Swirlix,30681
Wishiwashi-Solo,43591
Tranquill,21694
Mega Gengar,21640
Grumpig,43609
Spewpa,30537
Ninetales-Alolan,30273
Regigigas,8568
Venomoth,30505
Rowlet,21378
Mega Rayquaza,8657
Salazzle,30560
Mega Salamence,8770
Nosepass,30584
Spheal,21773
Archeops,30307
Cresselia,8778
Skorupi,8647
Mega Slowbro,30662
Raticate-Alolan,30312
Foongus,30223
Zigzagoon,30544
Drakloak,8692
Kricketot,21714
Coalossal,21723
Dewpider,30435
Raikou,8711
Deoxys-Defense,8691
Overqwil,30615
Manaphy,8595
Litwick,21488
Crocalor,21485
Beldum,8764
Mega Swampert,21798
Emboar,21362
Masquerain,30348
Mega Sceptile,21795
Celesteela,8647
Enamorus-T,8633
Krokorok,21741
Croconaw,21658
Dodrio,30249
Loudred,21503
Samurott,21754
Oricorio-Sensu,30231
Baxcalibur,8641
Escavalier,30423
Orthworm,8698
Zygarde-10%,8665
Iron Jugulis,8717
Wyrdeer,8648
Regirock,8532
Hitmonlee,30332
Parasect,30091
Chien-Pao,8700
Pumpkaboo-Small,30537
Mienfoo,21790
Arcanine-Hisuian,8597
Dreepy,8913
Timburr,21597
Raichu-Alolan,30180
Fezandipiti,8724
Butterfree,30276
Mudkip,21654
Flabébé,30362
Vibrava,21451
Electrode-Hisuian,30590
Iron Crown,8727
Magmar,30186
Ampharos,21642
Mega Charizard X,21665
Frogadier,21910
Miraidon,8762
Zoroark-Hisuian,21672
Poochyena,30232
Victini,8796
Bunnelby,30368
Scatterbug,30038
Silvally-Bug,8827
Purrloin,30200
Grapploct,21425
Silvally-Steel,8552
Solgaleo,8634
Whiscash,30417
Tyranitar,8771
Buzzwole,8579
Gyarados,8802
Kirlia,8649
Zekrom,8593
Mega Aerodactyl,8628
Heracross,8697
Squirtle,21600
Staravia,21421
Terapagos -Stellar Form,8618
Dewott,21593
Black Kyurem,8786
Houndour,8801
Taillow,21632
Electrike,8780
Silvally-Psychic,8617
Riolu,21607
Revavroom -Schedar,30550
Crustle,30478
Hattrem,8592
Drizzile,21446
Pinsir,8676
Torterra,21500
Marshadow,8690
Conkeldurr,21922
Copperajah,30035
Gothita,21902
Diancie,8745
Claydol,30530
Porygon,30348
Tapu Bulu,8657
Mega Pinsir,8863
Ogerpon,8708
Meloetta-Aria,8665
Deerling,30233
Ursaring,30563
Scizor,30083
Yveltal,8525
Mega Tyranitar,8689
Silvally-Rock,8697
Crabrawler,30305
Bayleef,21587
Reuniclus,21720
Palafin -Hero Form,8679
Xurkitree,8609
Iron Boulder,8842
Sunkern,21788
Carbink,8585
Steenee,21589
Shiftry,21542
Stantler,8689
Ogerpon -Cornerstone Mask,8623
Mightyena,30355
Arceus-Steel,8644
Combusken,21659
Marshtomp,21431
Zygarde-Complete,8723
Great Tusk,8698
Iron Thorns,8695
Tornadus-T,8539
Dracovish,8546
Teddiursa,30177
Mega Charizard Y,21754
Blastoise,21594
Giratina-Origin,8576
Rotom-W,30719
Arceus-Ice,8523
Delcatty,43695
Gothorita,21538
Primarina,21791
Giratina,8503
Necrozma-Dawn Wings,8694
Arrokuda,8725
Beedrill,30116
Tynamo,8610
Mega Heracross,8684
Barraskewda,8645
Kingdra,30536
Geodude,21735
Gourgeist-Large,30436
Archen,30379
Mantyke,8762
Zorua-Hisuian,21716
Shellder,8723
Arceus-Fire,8609
Tauros (Aqua),8656
Slowking,30173
Zorua,21878
Brambleghast,30427
Chinchou,8628
Sandile,21639
Tauros (combat),8554
Latias,8779
Heatran,8758
Volcanion,8605
Cetoddle,21896
Whismur,21757
Gigalith,22126
Meowstic ♂,30371
Silvally-Ghost,8714
Silvally-Ground,8635
Sandy Shocks,8707
Nidoran♀,21477
Arboliva,21641
Mega Sharpedo,8626
Tapu Lele,8580
Charcadet,8677
Roaring Moon,8581
Phione,8743
Koraidon,8672
Poliwag,21565
Froakie,21839
Infernape,21660
Gardevoir,8818
Enamorus-I,8759
Braviary-Hisuian,8636
Brute Bonnet,8514
Rhydon,8806
Tentacool,8574
Dialga-Orgin,8747
Sharpedo,8723
Noivern,30647
Terrakion,8700
Ultra Necrozma,8698
Armarouge,8519
Glastrier,8686
Mega Mewtwo X,8691
Wo-Chien,8484
Aron,8474
Manectric,8791
Eternamax Eternatus,8777
Clawitzer,8538
Houndstone,21446
Iron Valiant,8672
Pecharunt,8550
Reshiram,8594
Meloetta-Pirouette,8724
Arceus-Rock,8564
Urshifu-Single Strike,8645
Elgyem,30020
Arctibax,8628
Silvally-Fairy,8573
Dragonair,8459
Ponyta-Galarian,30031
Iron Moth,8774
Piloswine,8693
Rhyperior,8804
Carnivine,8638
Mega Latias,8644
Blacephalon,8797
Silvally-Ice,8760
Ash-Greninja,21576
Mantine,8904
Jirachi,8744
Snover,8701
Zapdos-Galarian,8863
Darkrai,8610
Roserade,21624
Arceus-Dark,8537
Hippowdon,8786
Groudon,8661
Deino,8589
Zacian,8610
Tropius,8642
Gourgeist-Average,30349
Stonjourner,8647
Uxie,8785
Arceus-Dragon,8581
Mega Mewtwo Y,8772
Arcanine,8678
Hydreigon,8660
Vanillish,8661
Chi-Yu,8503
Volcarona,8685
Arceus-Psychic,8526
Silvally-Grass,8740
Braviary,8717
Gholdengo,8569
Nihilego,8612
Moltres-Galarian,8518
Keldeo,8706
Arctozolt,8722
Silvally-Electric,8667
Salamence,8680
Abomasnow,8653
Regieleki,8591
Aerodactyl,8688
Ting-Lu,8796
Articuno-Galarian,8738
Zarude,8764
Tapu Koko,8634
Mamoswine,8726
Naganadel,8652
Virizion,8778
Mandibuzz,8623
Necrozma-Dusk Mane,8824
Sliggoo,8494
Slither Wing,8700
Arceus-Normal,8598
Calyrex-Shadow Rider,8676
Deoxys-Speed,8588
Metang,8652
Zamazenta,8549
Pheromosa,8736
Mega Houndoom,8815
Arceus-Fighting,8573
Articuno,8771
Miltank,8737
